crawl_date,keyword,show_id
2024-04-06T22:47,"mockumentary,office,job,office romance,employer employee relationship,cringe comedy,sitcom,fourth wall,workplace,satire,breaking the fourth wall,based on british tv series,scranton pennsylvania,awkward silence,character has same name as actor,paper,no laugh track,fake documentary,employment,prank,remake,2010s,2000s,closeted homosexual,title spoken by character,actor shares first name with character,male protagonist,mockumentary comedy,workplace comedy,sitcom comedy,office worker,gay,gay character,boss,boss employee relationship,outed,interracial relationship,cringe,co worker co worker conflict,male female relationship,remake of british series,steve carell character,romantic tension,pretzel,accountant,office temp,white male lead in a diverse cast,pennsylvania",tt0386676
2024-04-06T22:47,"friendship,friend,new york city,boyfriend girlfriend relationship,divorce,actor,love life,best friend,paleontologist,coffeehouse,famous opening theme,ex husband ex wife relationship,sex life,husband wife relationship,laugh track,brother sister relationship,ensemble cast,kiss,womanizer,one word title,wisecrack humor,f rated,male bonding,female bonding,aspiring actor,waitress,cult classic,cult tv,female protagonist,boots,window,feel good romance,guitarist,sitcom comedy,lesbian character,bromance,jew,male protagonist,male female relationship,romantic relationship,dumb man,promiscuity,friendship between man and woman,pregnancy,wedding,promiscuous man,homoerotic friendship,male male relationship,platonic male friendship,masseuse",tt0108778
2024-04-06T22:47,"lawyer,new york city,photographic memory,paralegal,law firm,rivalry,legal drama,sarcasm,harvard law school,one word series title,college dropout,shared universe,wordplay in series title,impostor,fraud,name calling,nickname,usa network,famous opening theme,male protagonist,2010s,21st century,female nudity,female rear nudity,workplace drama,courtroom,live action,judicial system,suit,mastermind,sexual attraction,legal ethics,student mentor relationship,friendship,associate,harvard graduate",tt1632701
2024-04-06T22:47,"gay relationship,gay character,homosexual,same sex parents,gay parent,gay father,gay couple,gay adoption,family relationships,ensemble cast,mockumentary,gay,gay protagonist,married gay couple,lgbt character,second marriage,interracial family,blended family,adoption,older man younger woman relationship,pregnancy,engagements to weddings,secret honeymoons,overprotective parent,overprotective guardian,school to work,controversy,girl wears eyeglasses,wedding anniversary,los angeles california,mockumentary comedy,2010s,21st century,sitcom comedy,two dads,straight actor gay character,male and female protagonists,boy,teenage boy,same sex couple,girl,cat,baby boy,dog,french bulldog,sister sister relationship,brother sister relationship,remarriage,baby girl,teenage girl",tt1442437
2024-04-06T22:47,"group of friends,friendship,sitcom,best friend,canadian abroad,male camaraderie,female camaraderie,camaraderie,growing up,bromance,told in flashback,falling in love,canadian woman,21st century,friend,father daughter relationship,father son relationship,series title spoken by character,new york city,laugh track,manhattan new york city,womanizer,yuppie,teacher,law student,canadian,architect,pickup line,boyfriend girlfriend relationship,2030s,2000s,2010s,male protagonist,lack of respect,pervert,scantily clad female,sitcom comedy,male male relationship,friendship between women,friendship between men,male bonding,love life,bisexual wife,straight man bisexual woman relationship,friendship between man and woman,male female relationship,bisexual,bisexual woman,female reporter,marriage",tt0460649
2024-04-06T22:47,"animal as human,sexual innuendo,adult animation,sadomasochism,2d animation,controversy,sexual behavior,derivative,dog,baby,dysfunctional family,talking dog,two word title,anthropomorphism,bad parenting,homosexual subtext,plagiarism,f word,anthropomorphic dog,family relationships,housewife,big nose,earring,pearl earring,lipstick,trousers,slipper,jewish descent,secular jew,beanie cap,beanie,meganekko,geek chic,geek,nerd,myopia,cheerleader,bully,bullying,thick eyeglasses,nearsightedness,cell phone,cringe comedy,surrealism,polygamy,besteirol,wheelchair,marriage,neighbor,pedophilia",tt0182576
2024-04-06T22:47,"murder,stalker,torture,kidnapping,secret,based on young adult novel,friendship,teacher student relationship,teen drama,suspense mystery,teen romance,teenager,school,teen horror,best friend,threat,blackmail,dark secret,texting,dysfunctional family,teen angst,male teacher female student romance,male teacher female student affair,male teacher female student kiss,three word title,pantyhose,black pantyhose,lesbian character,high school,pennsylvania,16 year old,female protagonist,2010s,soap opera,based on novel,male teacher female student relationship,male teacher female student sex,bribery,suburb,parent child relationship",tt1578873
2024-04-06T22:47,"police,new york city,police detective,police captain,gay cop,gay character,gay african american,latina cop,foodie,ensemble cast,man child,overachiever,administrator,plain clothes police officer,break room,mentor,boss employee relationship,best friend,male male friendship,tough female,cold open,sitcom,office romance,father figure,bullpen,holding cell,roof,evidence locker,suspenders,sensitive male,taking credit for another's work,briefing room,cop comedy,interrogation room,vulture,female cop,detective,law enforcement satire,satire,criminal,arrest,police precinct,solving crime,case,investigation,new york,brooklyn new york city,black cop,slob,yogurt",tt2467372
2024-04-06T22:47,"single mother,small town,teenage girl,friendship between women,female protagonist,rich parents,mother daughter relationship,family character name in series title,boyfriend girlfriend relationship,dialogue driven,cult tv,f rated,surname in series title,peer pressure,conflict of interest,ambitious girl,reference to yale university,coffee addiction,film enthusiast,cinema enthusiast,religious mother,korean family,antique shop,gender in title,teen drama,anger,domestic drama,father daughter relationship,female female friendship,connecticut,interracial friendship,interracial relationship,eccentricity,2000s,boy girl relationship,precocious child,fictional town,teen pregnancy,teenage mother,new england,innkeeper,chef,fast talker,yale university,teenager,preparatory school,domineering mother,grandparents,female chef,diner",tt0238784
2024-04-06T22:47,"affection,1980s,1990s,golden gate bridge,show within a show,series within a series,laugh track,observational comedy,sitcom comedy,girl,musician,comedian,little girl,childhood friend,best friend,house,widower,precocious child,fatherhood,struggling artist,news reporter,brother in law brother in law relationship,large family,famous opening theme,wisecrack humor,obsessed fan,nerd,twin actors share one role,stand up comedian,loss of mother,vanity,family friend,uncle niece relationship,immaturity,sister sister relationship,single father,friendship,father daughter relationship,san francisco california",tt0092359
